img,carpal,middle,right,left
10499.png,"[0.42919075144508667, 0.7924528301886792]","[0.5823699421965318, 0.2015888778550149]","[0.976878612716763, 0.5571002979145978]","[0.1676300578034682, 0.32770605759682225]"
10498.png,"[0.4766536964980545, 0.7580372250423012]","[0.49416342412451364, 0.03553299492385787]","[0.8832684824902723, 0.38917089678510997]","[0.1245136186770428, 0.233502538071066]"
10496.png,"[0.4971830985915493, 0.8292682926829268]","[0.523943661971831, 0.1116816431322208]","[0.9253521126760563, 0.45314505776636715]","[0.06056338028169014, 0.4428754813863928]"
10495.png,"[0.45016077170418006, 0.6713947990543736]","[0.5080385852090032, 0.04018912529550826]","[0.8665594855305465, 0.3191489361702128]","[0.22025723472668812, 0.19267139479905437]"
10494.png,"[0.45, 0.6806282722513088]","[0.5241935483870968, 0.13507853403141362]","[0.9887096774193549, 0.4544502617801047]","[0.20322580645161292, 0.26910994764397905]"
10493.png,"[0.48721804511278194, 0.6955414012738853]","[0.4917293233082707, 0.033121019108280254]","[0.9578947368421052, 0.4292993630573248]","[0.16992481203007517, 0.25095541401273885]"
10492.png,"[0.5366269165247018, 0.7025316455696202]","[0.47700170357751276, 0.06329113924050633]","[0.928449744463373, 0.3139240506329114]","[0.10562180579216354, 0.32531645569620254]"
10491.png,"[0.4188790560471976, 0.8279702970297029]","[0.4026548672566372, 0.19678217821782176]","[0.9277286135693216, 0.6547029702970297]","[0.08849557522123894, 0.40965346534653463]"
10490.png,"[0.44843049327354256, 0.7]","[0.4327354260089686, 0.03768115942028985]","[0.8295964125560538, 0.2826086956521739]","[0.1412556053811659, 0.1971014492753623]"
10489.png,"[0.460691823899371, 0.8720445062586926]","[0.49056603773584906, 0.1349095966620306]","[0.9386792452830188, 0.5744089012517385]","[0.10220125786163521, 0.3852573018080668]"
10488.png,"[0.544, 0.6788482834994463]","[0.5266666666666666, 0.04983388704318937]","[0.924, 0.31561461794019935]","[0.256, 0.2502768549280177]"
10487.png,"[0.5097744360902255, 0.6807780320366134]","[0.4345864661654135, 0.06979405034324943]","[0.9413533834586467, 0.3295194508009153]","[0.12481203007518797, 0.3123569794050343]"
10486.png,"[0.4293333333333333, 0.8356909684439608]","[0.512, 0.2687704026115343]","[0.8653333333333333, 0.5843307943416758]","[0.16399999999999998, 0.42872687704026113]"
10485.png,"[0.5434027777777778, 0.6300505050505051]","[0.5381944444444444, 0.11363636363636363]","[0.9184027777777777, 0.4128787878787879]","[0.12152777777777779, 0.34469696969696967]"
10484.png,"[0.5670103092783505, 0.8871359223300971]","[0.5213549337260678, 0.11529126213592233]","[0.8807069219440353, 0.3288834951456311]","[0.18262150220913106, 0.404126213592233]"
10483.png,"[0.4786666666666667, 0.7797681770284509]","[0.4893333333333333, 0.12961011591148577]","[0.9546666666666667, 0.4499473129610116]","[0.156, 0.3171759747102213]"
10482.png,"[0.4006359300476947, 0.7914183551847438]","[0.4006359300476947, 0.11680572109654351]","[0.9141494435612083, 0.4636471990464839]","[0.07313195548489666, 0.33730631704410013]"
10481.png,"[0.45866666666666667, 0.895500725689405]","[0.452, 0.11465892597968069]","[0.9493333333333334, 0.6226415094339622]","[0.14666666666666667, 0.3788098693759071]"
10480.png,"[0.40412979351032446, 0.7670025188916877]","[0.44690265486725667, 0.05415617128463476]","[0.873156342182891, 0.37531486146095716]","[0.1592920353982301, 0.22418136020151136]"
10479.png,"[0.46906474820143884, 0.7435367114788004]","[0.5553956834532374, 0.13340227507755947]","[0.9050359712230215, 0.40330920372285417]","[0.26762589928057556, 0.2647362978283351]"
10478.png,"[0.3827160493827161, 0.7574193548387096]","[0.5008818342151675, 0.02709677419354838]","[0.9753086419753086, 0.4232258064516129]","[0.1181657848324515, 0.2167741935483871]"
10477.png,"[0.44421906693711966, 0.8151125401929261]","[0.486815415821501, 0.05466237942122186]","[0.9188640973630833, 0.4115755627009646]","[0.11561866125760649, 0.2652733118971061]"
10476.png,"[0.3874045801526717, 0.7739628040057225]","[0.4293893129770992, 0.10872675250357654]","[0.7977099236641222, 0.3977110157367668]","[0.12022900763358779, 0.3133047210300429]"
10475.png,"[0.44189852700490995, 0.7577854671280276]","[0.546644844517185, 0.08535178777393311]","[0.9476268412438625, 0.39100346020761245]","[0.07201309328968904, 0.2710495963091119]"
10472.png,"[0.40472175379426645, 0.8069930069930069]","[0.448566610455312, 0.07832167832167831]","[0.9477234401349073, 0.4951048951048951]","[0.10118043844856661, 0.2881118881118881]"
10471.png,"[0.5310344827586208, 0.6776859504132231]","[0.5620689655172414, 0.0602125147579693]","[0.8603448275862068, 0.26564344746162927]","[0.12586206896551724, 0.2644628099173554]"
10470.png,"[0.4709851551956815, 0.7425506555423123]","[0.48582995951417, 0.02026221692491061]","[0.8771929824561404, 0.3206197854588796]","[0.11201079622132254, 0.24672228843861743]"
10469.png,"[0.44877049180327866, 0.8407350689127105]","[0.48565573770491804, 0.0229709035222052]","[0.9610655737704918, 0.3782542113323124]","[0.055327868852459015, 0.2465543644716692]"
10468.png,"[0.5424028268551236, 0.7263157894736842]","[0.5229681978798587, 0.02807017543859649]","[0.9823321554770318, 0.47017543859649125]","[0.2208480565371025, 0.2421052631578947]"
10466.png,"[0.553415061295972, 0.6671270718232044]","[0.4973730297723292, 0.09530386740331492]","[0.8861646234676007, 0.3328729281767956]","[0.19614711033274956, 0.27071823204419887]"
10465.png,"[0.5266666666666666, 0.8163043478260871]","[0.384, 0.10978260869565216]","[0.8240000000000001, 0.32608695652173914]","[0.20933333333333334, 0.30217391304347824]"
10464.png,"[0.5258620689655172, 0.7047325102880658]","[0.45402298850574707, 0.10185185185185185]","[0.8864942528735632, 0.3261316872427984]","[0.1839080459770115, 0.28189300411522633]"
10463.png,"[0.45768566493955093, 0.7347188264058679]","[0.4905008635578584, 0.05990220048899755]","[0.9654576856649396, 0.3789731051344743]","[0.153713298791019, 0.24327628361858192]"
10462.png,"[0.44223826714801445, 0.7724637681159421]","[0.33935018050541516, 0.04782608695652174]","[0.9386281588447654, 0.4246376811594203]","[0.05956678700361011, 0.31014492753623185]"
10460.png,"[0.5170731707317073, 0.739413680781759]","[0.5186991869918699, 0.12866449511400652]","[0.9089430894308943, 0.5472312703583062]","[0.17723577235772356, 0.36319218241042345]"
10459.png,"[0.45494505494505494, 0.8079561042524006]","[0.432967032967033, 0.09327846364883402]","[0.9494505494505495, 0.3840877914951989]","[0.13846153846153847, 0.3100137174211248]"
10458.png,"[0.43316412859560066, 0.8141025641025641]","[0.5177664974619289, 0.060256410256410244]","[0.9407783417935702, 0.3935897435897436]","[0.14720812182741116, 0.2692307692307692]"
10457.png,"[0.5078683834048641, 0.7306733167082293]","[0.3776824034334764, 0.06608478802992518]","[0.9570815450643777, 0.4476309226932668]","[0.06151645207439198, 0.40399002493765584]"
10456.png,"[0.6031294452347084, 0.797859690844233]","[0.4779516358463727, 0.06539833531510107]","[0.8349928876244666, 0.25089179548156954]","[0.059743954480796585, 0.4577883472057075]"
10455.png,"[0.5051020408163265, 0.7805970149253731]","[0.5272108843537415, 0.07164179104477612]","[0.9404761904761905, 0.4417910447761194]","[0.09523809523809523, 0.34776119402985073]"
10454.png,"[0.5039619651347068, 0.8217687074829932]","[0.37717908082408874, 0.07891156462585033]","[0.8541996830427893, 0.3360544217687075]","[0.05229793977812995, 0.37414965986394555]"
10453.png,"[0.5062695924764891, 0.783180026281209]","[0.4043887147335423, 0.09986859395532194]","[0.9435736677115988, 0.41261498028909327]","[0.05172413793103448, 0.38896189224704336]"
10452.png,"[0.4468412942989214, 0.7223587223587223]","[0.5069337442218798, 0.07985257985257985]","[0.8782742681047766, 0.3808353808353808]","[0.29583975346687214, 0.2285012285012285]"
10451.png,"[0.48372093023255813, 0.7405764966740577]","[0.5333333333333333, 0.06208425720620842]","[0.9069767441860465, 0.3492239467849224]","[0.20930232558139536, 0.23725055432372508]"
10450.png,"[0.4897959183673469, 0.6753246753246753]","[0.43112244897959184, 0.06006493506493506]","[0.9668367346938775, 0.3538961038961039]","[0.07653061224489796, 0.22402597402597402]"
10449.png,"[0.4893333333333333, 0.8181818181818181]","[0.5146666666666667, 0.20259740259740258]","[0.8573333333333334, 0.5662337662337662]","[0.28800000000000003, 0.3701298701298701]"
10447.png,"[0.408, 0.6898002103049421]","[0.632, 0.10935856992639327]","[0.9226666666666666, 0.5131440588853838]","[0.32799999999999996, 0.2113564668769716]"
10446.png,"[0.5029013539651838, 0.7514792899408285]","[0.3829787234042554, 0.10295857988165681]","[0.8568665377176015, 0.3254437869822485]","[0.11218568665377177, 0.30059171597633133]"
10444.png,"[0.488, 0.8497983870967742]","[0.58, 0.08870967741935484]","[0.8373333333333334, 0.3467741935483871]","[0.22399999999999998, 0.2550403225806452]"
10443.png,"[0.5146666666666667, 0.569060773480663]","[0.5706666666666667, 0.1580110497237569]","[0.7493333333333334, 0.35911602209944754]","[0.32266666666666666, 0.2541436464088398]"
10442.png,"[0.5046382189239332, 0.6893939393939393]","[0.4897959183673469, 0.03787878787878788]","[0.888682745825603, 0.3169191919191919]","[0.163265306122449, 0.23232323232323232]"
10441.png,"[0.45072697899838454, 0.8124174372523117]","[0.4620355411954765, 0.022457067371202108]","[0.9660743134087239, 0.3804491413474241]","[0.16639741518578352, 0.26420079260237783]"
10440.png,"[0.5149911816578484, 0.7709720372836218]","[0.5537918871252204, 0.13981358189081225]","[0.9700176366843033, 0.4980026631158455]","[0.21164021164021166, 0.32490013315579225]"
10439.png,"[0.43109540636042404, 0.7592592592592592]","[0.46466431095406363, 0.04567901234567901]","[0.9434628975265018, 0.36419753086419754]","[0.10424028268551236, 0.23456790123456792]"
10438.png,"[0.3635036496350365, 0.8249427917620138]","[0.45839416058394167, 0.10755148741418764]","[0.8963503649635036, 0.5022883295194508]","[0.1489051094890511, 0.2757437070938215]"
10437.png,"[0.44844517184942717, 0.7004089979550102]","[0.48772504091653024, 0.041922290388548056]","[0.9067103109656302, 0.3067484662576687]","[0.15057283142389527, 0.20245398773006135]"
10436.png,"[0.4332855093256815, 0.7416378316032295]","[0.5451936872309899, 0.05420991926182237]","[0.9655667144906743, 0.43944636678200694]","[0.1133428981348637, 0.265282583621684]"
10435.png,"[0.5434343434343435, 0.8003273322422259]","[0.49292929292929294, 0.03436988543371522]","[0.9353535353535354, 0.3289689034369886]","[0.10707070707070708, 0.28805237315875615]"
10434.png,"[0.49527665317139, 0.7467760844079718]","[0.5263157894736842, 0.12192262602579133]","[0.940620782726046, 0.48651817116060964]","[0.19973009446693657, 0.309495896834701]"
10433.png,"[0.4906666666666667, 0.75]","[0.48533333333333334, 0.045321637426900575]","[0.8693333333333334, 0.45175438596491224]","[0.19866666666666666, 0.32602339181286555]"
10431.png,"[0.4026666666666667, 0.8152866242038216]","[0.43333333333333335, 0.08662420382165605]","[0.8333333333333333, 0.44968152866242034]","[0.13733333333333334, 0.3095541401273885]"
10430.png,"[0.488659793814433, 0.7791327913279134]","[0.5010309278350515, 0.02845528455284553]","[0.890721649484536, 0.29132791327913277]","[0.2, 0.1991869918699187]"
10429.png,"[0.42, 0.8795483061480551]","[0.5386666666666666, 0.08531994981179424]","[0.9293333333333333, 0.5244667503136763]","[0.18666666666666668, 0.2810539523212045]"
10428.png,"[0.5192307692307692, 0.7613636363636364]","[0.4876373626373626, 0.06301652892561983]","[0.9052197802197803, 0.3502066115702479]","[0.2403846153846154, 0.253099173553719]"
10427.png,"[0.384, 0.731237322515213]","[0.396, 0.08620689655172414]","[0.8613333333333334, 0.411764705882353]","[0.14, 0.2363083164300203]"
10426.png,"[0.46831530139103555, 0.7844827586206897]","[0.5069551777434312, 0.16379310344827588]","[0.7928902627511591, 0.4236453201970443]","[0.29675425038639874, 0.30049261083743845]"
10425.png,"[0.4611872146118721, 0.7074380165289256]","[0.4680365296803653, 0.09917355371900827]","[0.7602739726027398, 0.36198347107438017]","[0.24429223744292236, 0.2462809917355372]"
10424.png,"[0.45610687022900764, 0.6043829296424452]","[0.48473282442748095, 0.0]","[0.9198473282442748, 0.2537485582468281]","[0.11450381679389313, 0.1649365628604383]"
10423.png,"[0.40862422997946607, 0.7985611510791366]","[0.5811088295687885, 0.06906474820143885]","[0.9137577002053388, 0.381294964028777]","[0.15195071868583163, 0.23453237410071942]"
10422.png,"[0.32724505327245057, 0.7171610169491526]","[0.4748858447488585, 0.1069915254237288]","[0.8964992389649925, 0.4777542372881356]","[0.0958904109589041, 0.24258474576271186]"
10421.png,"[0.36806722689075627, 0.684449489216799]","[0.4739495798319328, 0.094211123723042]","[0.8873949579831932, 0.4267877412031782]","[0.04033613445378151, 0.2792281498297389]"
10420.png,"[0.47633136094674555, 0.8198992443324937]","[0.45710059171597633, 0.08942065491183879]","[0.8461538461538461, 0.37657430730478586]","[0.10798816568047337, 0.33879093198992444]"
10419.png,"[0.4611801242236025, 0.8030139935414424]","[0.4953416149068323, 0.14747039827771796]","[0.8773291925465838, 0.41442411194833156]","[0.15527950310559008, 0.32938643702906356]"
10418.png,"[0.38593974175035867, 0.7310536044362291]","[0.490674318507891, 0.03512014787430684]","[0.9239598278335724, 0.3539741219963032]","[0.18938307030129123, 0.1765249537892791]"
10417.png,"[0.4331550802139037, 0.7343927355278094]","[0.42780748663101603, 0.09761634506242906]","[0.8983957219251337, 0.4517593643586833]","[0.1323529411764706, 0.28036322360953464]"
10415.png,"[0.444, 0.8048162230671737]","[0.4893333333333333, 0.1343472750316857]","[0.8573333333333334, 0.48035487959442336]","[0.20266666666666666, 0.3269961977186312]"
10414.png,"[0.4113263785394933, 0.7945516458569807]","[0.5365126676602087, 0.13507377979568672]","[0.879284649776453, 0.4426787741203178]","[0.20417287630402384, 0.28036322360953464]"
10413.png,"[0.4493333333333333, 0.7747858017135862]","[0.4706666666666667, 0.003671970624235]","[0.8586666666666666, 0.35495716034271724]","[0.18666666666666668, 0.20563035495716034]"
10412.png,"[0.5057660626029654, 0.7670364500792393]","[0.41845140032948924, 0.023771790808240878]","[0.9522240527182866, 0.45641838351822506]","[0.15815485996705106, 0.25039619651347067]"
10411.png,"[0.4906303236797275, 0.6941624365482234]","[0.5485519591141397, 0.14974619289340102]","[0.8109028960817717, 0.38451776649746194]","[0.2776831345826235, 0.27411167512690354]"
10410.png,"[0.4642233856893543, 0.75390625]","[0.6230366492146596, 0.078125]","[0.9249563699825479, 0.390625]","[0.20418848167539266, 0.23567708333333331]"
10408.png,"[0.4683760683760683, 0.8195488721804511]","[0.4358974358974359, 0.06892230576441102]","[0.9367521367521366, 0.38721804511278196]","[0.147008547008547, 0.2769423558897243]"
10406.png,"[0.4503597122302158, 0.8015521064301552]","[0.4805755395683453, 0.04767184035476719]","[0.958273381294964, 0.40465631929046564]","[0.1510791366906475, 0.22505543237250553]"
10405.png,"[0.4020442930153322, 0.7556818181818181]","[0.5178875638841567, 0.22727272727272727]","[0.93015332197615, 0.4867424242424242]","[0.24531516183986374, 0.34375]"
10404.png,"[0.4907539118065434, 0.8057285180572852]","[0.577524893314367, 0.1606475716064757]","[0.9046941678520626, 0.47198007471980075]","[0.3328591749644382, 0.32876712328767127]"
10403.png,"[0.47591522157996147, 0.6898817345597898]","[0.5452793834296724, 0.09592641261498029]","[0.9614643545279384, 0.38239159001314055]","[0.22928709055876684, 0.2431011826544021]"
10402.png,"[0.52, 0.7503075030750307]","[0.452, 0.14514145141451415]","[0.7693333333333334, 0.35670356703567035]","[0.252, 0.3284132841328413]"
10400.png,"[0.37156704361873993, 0.7986013986013987]","[0.5331179321486268, 0.04755244755244755]","[0.9305331179321485, 0.4937062937062937]","[0.10823909531502424, 0.23916083916083916]"
10399.png,"[0.41832669322709165, 0.8206521739130435]","[0.6155378486055777, 0.05615942028985507]","[0.9541832669322708, 0.6068840579710145]","[0.21115537848605576, 0.22282608695652176]"
10398.png,"[0.5190156599552573, 0.8395721925133689]","[0.465324384787472, 0.0819964349376114]","[0.9172259507829977, 0.40998217468805703]","[0.22371364653243847, 0.29590017825311943]"
10397.png,"[0.49927849927849927, 0.7776427703523694]","[0.3939393939393939, 0.055893074119076555]","[0.950937950937951, 0.40097205346294046]","[0.06926406926406926, 0.3329283110571082]"
10396.png,"[0.38636363636363635, 0.900297619047619]","[0.47575757575757577, 0.08630952380952381]","[0.9045454545454545, 0.6220238095238095]","[0.09545454545454544, 0.3392857142857143]"
10395.png,"[0.42266666666666663, 0.8845108695652173]","[0.5013333333333333, 0.07608695652173914]","[0.9146666666666667, 0.5285326086956522]","[0.19066666666666665, 0.2866847826086957]"
10394.png,"[0.4419475655430712, 0.8328804347826088]","[0.50187265917603, 0.05434782608695652]","[0.9700374531835206, 0.389945652173913]","[0.10112359550561799, 0.26902173913043476]"
10393.png,"[0.4920634920634921, 0.6627497062279671]","[0.47442680776014107, 0.03407755581668625]","[0.9770723104056438, 0.30434782608695654]","[0.10405643738977073, 0.21504112808460632]"
10392.png,"[0.41727672035139096, 0.6349693251533742]","[0.45241581259150804, 0.07259713701431493]","[0.862371888726208, 0.34560327198364005]","[0.12445095168374816, 0.23006134969325154]"
10391.png,"[0.503448275862069, 0.7911857292759705]","[0.48, 0.046169989506820566]","[0.9144827586206897, 0.35152151101783846]","[0.046896551724137925, 0.2990556138509968]"
10390.png,"[0.5507246376811594, 0.7160493827160493]","[0.4057971014492754, 0.13580246913580246]","[0.929951690821256, 0.4609053497942387]","[0.2028985507246377, 0.3477366255144033]"
10388.png,"[0.41733547351524874, 0.7519818799546999]","[0.45585874799357945, 0.07361268403171008]","[0.971107544141252, 0.4110985277463194]","[0.08988764044943821, 0.2570781426953567]"
10387.png,"[0.5158069883527454, 0.8091168091168092]","[0.5257903494176372, 0.05555555555555555]","[0.9151414309484193, 0.3817663817663818]","[0.14143094841930115, 0.30484330484330485]"
10386.png,"[0.45104895104895104, 0.7416563658838072]","[0.46853146853146854, 0.06674907292954264]","[0.8968531468531468, 0.3535228677379481]","[0.2395104895104895, 0.21755253399258342]"
10385.png,"[0.4066666666666666, 0.7944711538461539]","[0.5586666666666666, 0.052884615384615384]","[0.8506666666666667, 0.548076923076923]","[0.30266666666666664, 0.25]"
10384.png,"[0.37733333333333335, 0.8349753694581281]","[0.49866666666666665, 0.07389162561576355]","[0.8666666666666667, 0.46921182266009853]","[0.12666666666666665, 0.2721674876847291]"
10383.png,"[0.5067669172932331, 0.7367424242424242]","[0.41654135338345866, 0.14109848484848483]","[0.912781954887218, 0.3882575757575758]","[0.06766917293233082, 0.34375]"
10382.png,"[0.4571917808219178, 0.8591916558018253]","[0.488013698630137, 0.04041720990873533]","[0.9674657534246575, 0.40938722294654495]","[0.06335616438356165, 0.25554106910039115]"
10381.png,"[0.4893009985734665, 0.833130328867235]","[0.5420827389443652, 0.01339829476248477]","[0.9358059914407988, 0.3727161997563947]","[0.31383737517831667, 0.2375152253349574]"
10379.png,"[0.4797979797979798, 0.8321513002364067]","[0.5521885521885522, 0.17139479905437352]","[0.9158249158249159, 0.44799054373522457]","[0.15488215488215487, 0.36170212765957444]"
10378.png,"[0.46812080536912754, 0.6880503144654088]","[0.5956375838926175, 0.06918238993710692]","[0.9295302013422818, 0.3836477987421384]","[0.29530201342281875, 0.2]"
10377.png,"[0.4658703071672355, 0.7696709585121603]","[0.5392491467576792, 0.04864091559370529]","[0.9300341296928327, 0.41630901287553645]","[0.1825938566552901, 0.24320457796852646]"
10376.png,"[0.48807631160572335, 0.7782152230971129]","[0.5071542130365659, 0.11023622047244094]","[0.9141494435612083, 0.44356955380577423]","[0.23370429252782196, 0.2979002624671916]"
10375.png,"[0.42379958246346555, 0.7816901408450704]","[0.5073068893528184, 0.11619718309859155]","[0.8308977035490606, 0.44190140845070425]","[0.2839248434237996, 0.27112676056338025]"
10374.png,"[0.4114671163575042, 0.7479079497907949]","[0.45868465430016864, 0.05543933054393306]","[0.927487352445194, 0.34414225941422594]","[0.1433389544688027, 0.21652719665271966]"
10373.png,"[0.5092592592592592, 0.7809523809523811]","[0.4722222222222222, 0.0598639455782313]","[0.9367283950617283, 0.42585034013605444]","[0.16358024691358025, 0.31700680272108844]"
10372.png,"[0.48484848484848486, 0.6746166950596252]","[0.5643939393939393, 0.07325383304940375]","[0.8825757575757575, 0.40715502555366273]","[0.3352272727272727, 0.19931856899488928]"
10371.png,"[0.4893333333333333, 0.7731196054254008]","[0.528, 0.06781750924784218]","[0.9693333333333334, 0.4796547472256474]","[0.23866666666666667, 0.27003699136868065]"
10370.png,"[0.4663299663299663, 0.8888888888888888]","[0.46969696969696967, 0.15416666666666667]","[0.8451178451178452, 0.46805555555555556]","[0.09764309764309764, 0.38888888888888884]"
10369.png,"[0.5234113712374582, 0.8337837837837837]","[0.5, 0.014864864864864859]","[0.9264214046822743, 0.3054054054054054]","[0.1588628762541806, 0.22567567567567567]"
10368.png,"[0.6526315789473683, 0.7827426810477658]","[0.5228070175438596, 0.09090909090909091]","[0.9596491228070175, 0.3697996918335902]","[0.2157894736842105, 0.325115562403698]"
10367.png,"[0.4991243432574431, 0.7142857142857143]","[0.5674255691768827, 0.03452380952380952]","[0.9141856392294221, 0.2904761904761905]","[0.23117338003502627, 0.20952380952380953]"
10366.png,"[0.4613333333333333, 0.8743047830923248]","[0.456, 0.10011123470522802]","[0.96, 0.47052280311457173]","[0.11866666666666667, 0.32591768631813123]"
10364.png,"[0.41984732824427484, 0.7379807692307692]","[0.44465648854961837, 0.20072115384615383]","[0.799618320610687, 0.4615384615384615]","[0.15648854961832062, 0.3425480769230769]"
10363.png,"[0.4740532959326788, 0.6666666666666667]","[0.5610098176718092, 0.16469428007889547]","[0.8555399719495091, 0.403353057199211]","[0.34642356241234223, 0.2662721893491124]"
10362.png,"[0.5980392156862745, 0.8333333333333333]","[0.6450980392156863, 0.1595744680851064]","[0.9490196078431373, 0.49290780141843976]","[0.4, 0.34751773049645396]"
10361.png,"[0.4506666666666667, 0.801123595505618]","[0.496, 0.1101123595505618]","[0.9573333333333334, 0.4617977528089887]","[0.156, 0.32696629213483147]"
10360.png,"[0.42124542124542125, 0.8392434988179669]","[0.489010989010989, 0.14184397163120566]","[0.9597069597069597, 0.45271867612293143]","[0.12820512820512822, 0.30141843971631205]"
10358.png,"[0.3893805309734513, 0.9304964539007092]","[0.56047197640118, 0.04964539007092198]","[0.9705014749262537, 0.5858156028368794]","[0.09292035398230089, 0.27092198581560284]"
10357.png,"[0.5129740518962076, 0.7994428969359332]","[0.4231536926147704, 0.00835654596100278]","[0.9441117764471058, 0.30362116991643456]","[0.1596806387225549, 0.21448467966573814]"
10356.png,"[0.4947839046199702, 0.7314410480349345]","[0.4798807749627422, 0.1462882096069869]","[0.9269746646795827, 0.42248908296943233]","[0.22056631892697467, 0.30240174672489084]"
10354.png,"[0.3506666666666667, 0.7248677248677248]","[0.47200000000000003, 0.056084656084656084]","[0.9013333333333334, 0.45396825396825397]","[0.11066666666666666, 0.20952380952380953]"
10353.png,"[0.4720812182741117, 0.8095890410958905]","[0.42978003384094754, 0.08356164383561644]","[0.9255499153976311, 0.4178082191780822]","[0.0829103214890017, 0.3219178082191781]"
10352.png,"[0.56, 0.9159347553324969]","[0.3906666666666667, 0.2973651191969887]","[0.7266666666666667, 0.49435382685069007]","[0.252, 0.49560853199498117]"
10351.png,"[0.5440900562851783, 0.7231182795698925]","[0.42026266416510316, 0.05510752688172043]","[0.9305816135084427, 0.3064516129032258]","[0.04878048780487805, 0.29973118279569894]"
10348.png,"[0.4716981132075472, 0.8333333333333333]","[0.5145797598627787, 0.06538461538461539]","[0.9228130360205832, 0.37051282051282053]","[0.16638078902229847, 0.2512820512820513]"
10347.png,"[0.3557692307692308, 0.8198324022346368]","[0.6461538461538461, 0.23743016759776536]","[0.9461538461538461, 0.6787709497206704]","[0.25384615384615383, 0.3254189944134078]"
10346.png,"[0.3559928443649374, 0.7454100367197063]","[0.4275491949910555, 0.03671970624235006]","[0.9642218246869411, 0.4235006119951041]","[0.04293381037567084, 0.20563035495716034]"
10345.png,"[0.5506666666666667, 0.8113695090439276]","[0.5413333333333333, 0.18475452196382428]","[0.9413333333333334, 0.5439276485788114]","[0.23199999999999998, 0.4082687338501292]"
10343.png,"[0.49032258064516127, 0.7283163265306122]","[0.47096774193548385, 0.03698979591836734]","[0.9548387096774194, 0.33545918367346933]","[0.15806451612903227, 0.21045918367346939]"
10342.png,"[0.44869565217391305, 0.8468586387434555]","[0.5165217391304348, 0.049738219895287955]","[0.8608695652173912, 0.34424083769633507]","[0.12173913043478261, 0.24083769633507854]"
10341.png,"[0.5106666666666667, 0.8083441981747066]","[0.4746666666666667, 0.09517601043024772]","[0.904, 0.45241199478487615]","[0.22533333333333336, 0.3220338983050848]"
10340.png,"[0.43175487465181056, 0.7792207792207791]","[0.5069637883008357, 0.12632821723730814]","[0.8746518105849581, 0.4734356552538371]","[0.16295264623955433, 0.29634002361275086]"
10339.png,"[0.48266666666666663, 0.7693351424694709]","[0.5386666666666666, 0.03392130257801899]","[0.7973333333333333, 0.33921302578018997]","[0.32, 0.19131614654002715]"
10338.png,"[0.3693333333333333, 0.718048780487805]","[0.5, 0.15804878048780488]","[0.8640000000000001, 0.49658536585365853]","[0.17866666666666667, 0.2858536585365854]"
10337.png,"[0.5665529010238908, 0.7364341085271318]","[0.3873720136518772, 0.09431524547803617]","[0.9010238907849829, 0.3165374677002584]","[0.06655290102389078, 0.39405684754521964]"
10336.png,"[0.4174107142857143, 0.8561236623067776]","[0.5446428571428572, 0.09274673008323424]","[0.8348214285714286, 0.3495838287752675]","[0.27678571428571425, 0.22948870392390014]"
10335.png,"[0.406025824964132, 0.8554641598119859]","[0.509325681492109, 0.17038777908343125]","[0.9081779053084648, 0.5722679200940071]","[0.25251076040172166, 0.3172737955346651]"
10334.png,"[0.4293333333333333, 0.7918918918918919]","[0.456, 0.23423423423423423]","[0.8973333333333333, 0.5126126126126126]","[0.19466666666666665, 0.36396396396396397]"
10333.png,"[0.4674085850556439, 0.7653575025176234]","[0.5135135135135136, 0.14602215508559918]","[0.8108108108108109, 0.34944612286002014]","[0.20349761526232116, 0.30513595166163143]"
10332.png,"[0.48109965635738833, 0.6763803680981596]","[0.5567010309278351, 0.052147239263803685]","[0.9037800687285223, 0.4233128834355828]","[0.1718213058419244, 0.25]"
10331.png,"[0.4246575342465754, 0.7240223463687151]","[0.5662100456621004, 0.11284916201117319]","[0.817351598173516, 0.36424581005586587]","[0.30289193302891937, 0.2324022346368715]"
10330.png,"[0.5109034267912772, 0.7652519893899205]","[0.3940809968847352, 0.0663129973474801]","[0.9470404984423676, 0.38196286472148544]","[0.1339563862928349, 0.29973474801061006]"
10329.png,"[0.4789391575663026, 0.786096256684492]","[0.36349453978159124, 0.046791443850267386]","[0.9625585023400935, 0.429144385026738]","[0.09204368174726989, 0.33288770053475936]"
10328.png,"[0.376, 0.6567441860465116]","[0.4666666666666666, 0.11906976744186046]","[0.8626666666666667, 0.42604651162790697]","[0.10266666666666667, 0.2669767441860465]"
10327.png,"[0.4906303236797275, 0.8402777777777777]","[0.5229982964224873, 0.1236111111111111]","[0.8943781942078364, 0.44027777777777777]","[0.1635434412265758, 0.3277777777777778]"
10326.png,"[0.43626062322946174, 0.7561260210035006]","[0.4858356940509915, 0.10385064177362895]","[0.876770538243626, 0.47257876312718783]","[0.17422096317280453, 0.3115519253208868]"
10325.png,"[0.456140350877193, 0.7300103842159917]","[0.5614035087719298, 0.09865005192107995]","[0.89792663476874, 0.37798546209761164]","[0.22328548644338117, 0.26064382139148495]"
10324.png,"[0.4140480591497227, 0.7902374670184696]","[0.4491682070240296, 0.18865435356200527]","[0.8354898336414048, 0.44063324538258575]","[0.07948243992606285, 0.3627968337730871]"
